comment,province
#电影好东西#好看！！感觉刻画了女性所有美好的东西情绪价值拉满！,云南
做个小孩，人生都是上上签。#电影好东西#,四川
多巴胺超级释放的一天。宋佳可太A了。#电影好东西#,安徽
#电影好东西#HERSTORY好东西，好电影1.开头宋佳骑平衡车的镜头，光影从她脸上变换，真好看真是好适合大荧幕的一张脸，后面处理跟踪狂，卫衣帽一戴，双手一插兜，太飒了2.茉莉猜声音，一开始以为自然界的声音，真实答案是铁梅在做家务的各种场景真的很棒，不管是在剧情中起到的作用，还是剪辑手法都非常棒3.泪点贡献在了小叶诉说自己从未得到过自己母亲的夸赞，并且遭遇到的家暴，茉莉对她说：“你的眼睛很漂亮，我喜欢你用这双眼睛看着我”，瞬间泪目，看到了我的缩影4.笑点主要集中在各种雄竞场面，吃面，泼水，漏胸肌5.渣男误会铁梅和小叶是情侣那段也是非常搞笑，不过从形象上，也是非常合理呢，有几个男的能比铁梅A啊,河南
#电影好东西#今天和朋友去看了这部电影，里面有好些对话犹如醍醐灌顶般直击我的灵魂，但是原句是啥我忘了，但是看完之后有种很爽很洒脱的感觉,山东
好东西，赞！#电影好东西#,重庆
#电影好东西#好看,山西
好东西我的评分：#电影好东西#很好看！！,安徽
网上有太多赞美这部电影的话，不多说了，冲就完了。真的很久没有在电影院看过这么好看的电影了，电影院氛围巨好，笑得前仰后合，最后又让我忍不住流泪。这部电影是女导演送给送给所有女生的礼物#好东西##电影好东西#,湖北
钟楚曦超话三刷完毕已经准备好了四刷好东西真的看不够#电影好东西#,天津
